番号,表現,例文（英語）,例文（和訳）,文法ポイント,使用場面,カジュアル版,フォーマル版,よくある間違い,備考
12,"We're burning down as planned","We're burning down as planned - on track for completion.","計画通りバーンダウンしています - 完了に向けて順調です。","burn down句動詞。as planned。","アジャイル管理、進捗可視化、スプリント報告","On track...","Task completion follows the projected curve...","Burning down as plan... (過去分詞planned)","burning downをアジャイル用語として発音"
13,"This is a stretch goal","This feature is a stretch goal for this quarter.","この機能は今四半期のストレッチゴールです。","stretch goal固定表現。冠詞a。","目標設定、期待値管理、モチベーション","Nice to have...","This represents an aspirational objective...","Stretch goal is... (冠詞a必要)","stretchを挑戦的目標として発音"
14,"We need to re-baseline","We need to re-baseline the project timeline.","プロジェクトタイムラインのベースラインを再設定する必要があります。","re-baseline動詞化。ハイフン。","計画見直し、スコープ変更、期待値調整","Reset the timeline...","A baseline adjustment is required...","Re baseline... (ハイフン必要)","re-baselineをプロジェクト管理用語として発音"
15,"The burn rate is...","The burn rate is $50,000 per month.","バーンレートは月額5万ドルです。","burn rate専門用語。単数is。","予算管理、リソース追跡、持続可能性評価","Spending $50k/month...","The resource consumption rate is...","Burn rate are... (単数is)","burn rateを財務指標として発音"
16,"I'm blocked on...","I'm blocked on the API documentation from the backend team.","バックエンドチームからのAPIドキュメントでブロックされています。","blocked過去分詞 + on。","依存関係報告、支援要請、問題共有","Waiting for...","Progress is impeded by...","Blocked by on... (前置詞on)","blockedを障害として明確に発音"
17,"We're tracking to deliver...","We're tracking to deliver by end of month.","月末までに納品予定で進んでいます。","track to + 動詞原形。","納期管理、進捗予測、ステークホルダー報告","Should be done by...","Projected delivery is...","Tracking for deliver... (to不定詞)","trackingを進捗追跡として発音"
18,"This will slip to...","This milestone will slip to next week.","このマイルストーンは来週にずれ込みます。","slip動詞 + to。","遅延報告、スケジュール変更、リスク共有","Running late...","The deadline will be extended to...","Will slips to... (原形slip)","slipを遅延として懸念を込めて発音"
19,"We have X story points remaining","We have 15 story points remaining in the sprint.","スプリントに15ストーリーポイントが残っています。","remaining現在分詞。複数points。","スプリント管理、残作業報告、キャパシティ計画","15 points left...","Outstanding work amounts to...","Story point remaining... (複数points)","story pointsをアジャイル単位として発音"
20,"The critical path is...","The critical path is through the backend development.","クリティカルパスはバックエンド開発を通ります。","critical path専門用語。単数is。","プロジェクト計画、リスク管理、優先順位付け","The bottleneck is...","The determining sequence is...","Critical path are... (単数is)","critical pathをPM用語として発音"
21,"We're at risk of missing...","We're at risk of missing the Q4 deadline.","第4四半期の締切を逃すリスクがあります。","at risk of + 動名詞。","リスク報告、早期警告、対策要請","Might miss...","There is a risk of non-compliance...","At risk to miss... (of + 動名詞)","at riskをリスク警告として発音"
22,"The scope has crept","The scope has crept significantly since the initial planning.","初期計画以来、スコープが大幅に拡大しました。","scope creep専門用語。現在完了。","スコープ管理、変更管理、リスク報告","Getting bigger...","Scope expansion has occurred...","Scope have crept... (単数has)","creptを問題として懸念を込めて発音"
23,"We're front-loading the work","We're front-loading the work to reduce risk later.","後のリスクを減らすため作業を前倒ししています。","front-load動詞。ハイフン。","リスク管理、作業計画、効率化戦略","Doing the hard stuff first...","Prioritizing early completion...","Front loading the work... (ハイフン必要)","front-loadingを戦略として発音"
24,"The milestone is approaching","The milestone is approaching - only 2 weeks left.","マイルストーンが近づいています - 残り2週間のみです。","approach動詞。進行形。","期限管理、注意喚起、準備促進","Deadline coming up...","The target date is imminent...","Milestone approaching... (is必要)","approachingを重要期限として発音"
25,"We've completed X% of the backlog","We've completed 60% of the product backlog.","製品バックログの60%を完了しました。","現在完了 + of所有。","進捗報告、バックログ管理、完了率追跡","60% done...","Backlog completion stands at...","Completed 60% backlog... (of the必要)","backlogをアジャイル用語として発音"
26,"This is a moving target","The requirements are a moving target.","要件は動く標的です。","moving target慣用句。冠詞a。","変更管理、要件の不安定性、フラストレーション表現","Keeps changing...","The objectives are in flux...","Moving target is... (冠詞a必要)","moving targetを問題として発音"
27,"We're resource-constrained","We're resource-constrained until the new hires start.","新入社員が始まるまでリソースが制約されています。","resource-constrained複合形容詞。","キャパシティ説明、制約の共有、期待値管理","Short on people...","Operating under resource limitations...","Resource constrained... (ハイフン必要)","constrainedを制約として発音"
28,"The effort is estimated at...","The effort is estimated at 120 person-hours.","作業量は120人時と見積もられています。","estimated受動態 + at。","工数見積もり、リソース計画、プロジェクト計画","About 120 hours...","The labor requirement is calculated at...","Effort estimated at... (is必要)","estimatedを専門的見積もりとして発音"
29,"We're ramping up","We're ramping up development for the release.","リリースに向けて開発を強化しています。","ramp up句動詞。現在進行形。","活動強化、リリース準備、生産性向上","Speeding up...","Intensifying our efforts...","Ramping up up... (up重複)","ramping upを活動強化として発音"
30,"The deliverable is due...","The deliverable is due by COB Friday.","成果物の期限は金曜日の業務終了時です。","due形容詞。be動詞。","期限管理、成果物追跡、スケジュール共有","Due Friday...","The submission deadline is...","Deliverable due... (is必要)","dueを重要期限として発音"
